,count
Stephane Bohli,12
Filip Prpic,12
Stephane Robert,12
Filip Krajinovic,12
Martin Cuevas,12
Ruben Bemelmans,12
Jhonnatan Medina Alvarez,12
Matthew Ebden,12
Tobias Kamke,12
Henri Kontinen,12
Alex Kuznetsov,12
Oliver Marach,12
Devin Mullings,12
Marton Fucsovics,12
Joseph Sirianni,12
Federico Luzzi,12
Byron Black,12
Karol Kucera,12
Hicham Arazi,12
Michael Quintero,12
Patrick Chucri,12
Simone Bolelli,11
Magnus Gustafsson,11
Satoshi Iwabuchi,11
David Agung Susanto,11
Kyle Edmund,11
Deniss Pavlovs,11
Vasek Pospisil,11
Duilio Beretta,11
Photos Kallias,11
Martin Lee,11
Yassine Idmbarek,11
Samuel Groth,11
Alexander Zverev,11
Alexander Kudryavtsev,11
Dieter Kindlmann,11
Sunu Wahyu Trijati,11
Mike Bryan,11
Lovro Zovko,11
Nathan Healey,11
Aldin Setkic,11
Cedrik Marcel Stebe,11
Karim Alami,11
Benoit Paire,11
Piero Luisi,11
Laurynas Grigelis,11
Andrey Dernovskiy,11
Mikhail Ledovskikh,11
Razvan Sabau,11
Mait Kunnap,11
Philip Bester,10
Christopher Diaz Figueroa,10
Guillaume Couillard,10
Horacio Zeballos,10
Nick Kyrgios,10
Albert Ramos,10
Bruno Echagaray,10
Nicolas Devilder,10
Yves Allegro,10
Julien Boutter,10
James Duckworth,10
Louk Sorensen,10
Patrick Rafter,10
Maximo Gonzalez,10
Daniel Vacek,10
Alex Kim,10
Predrag Rusevski,10
Jeff Salzenstein,10
Marinko Matosevic,10
Jonathan Erlich,10
Lee Childs,10
Diego Galeano,10
Raven Klaasen,10
Richard Krajicek,10
Ivan Endara,10
Mohamed Mamoun,10
Attila Savolt,10
Martin Vassallo Arguello,10
Matthias Bachinger,10
Tsung Hua Yang,10
Dimitar Kutrovsky,10
Patrick Tierro,10
David Prinosil,10
Ahmad Rabeea Muhammad,10
Guillaume Rufin,10
Michael Yani,10
Alex Llompart,10
Federico Dondo,10
Peter Clarke,10
Karlis Lejnieks,10
Flavio Cipolla,10
Ricardo Chile Fonte,10
Xin Yuan Yu,10
